pantone_name,L,A,B
100C,93,-8,50
101C,92,-9,66
102C,91,-7,100
103C,71,0,91
104C,62,-1,74
105C,48,-1,49
106C,91,-6,65
107C,90,-4,81
108C,88,0,95
109C,86,5,100
110C,73,7,94
111C,61,4,75
112C,55,2,62
113C,90,-2,67
114C,89,-2,70
115C,89,-1,72
116C,85,7,93
117C,68,10,83
118C,60,8,73
119C,50,1,49
120C,89,0,53
1205C,90,0,31
121C,89,2,57
1215C,89,1,40
122C,87,5,68
1225C,84,11,69
123C,84,12,79
1235C,79,22,85
124C,75,16,85
1245C,64,13,69
125C,61,12,72
1255C,56,10,59
126C,55,8,60
1265C,46,7,46
127C,89,-3,46
128C,86,0,61
129C,84,3,69
130C,75,18,86
131C,65,19,80
132C,55,11,64
133C,39,5,41
134C,87,5,45
1345C,86,10,39
135C,84,12,61
1355C,84,13,45
136C,81,18,71
1365C,80,21,60
137C,75,32,87
1375C,74,35,81
138C,64,35,83
1385C,60,34,74
139C,54,23,68
1395C,47,21,53
140C,40,11,43
1405C,34,13,36
141C,83,6,53
142C,79,12,64
143C,75,19,72
144C,65,38,79
145C,59,31,71
146C,47,22,56
147C,39,6,35
148C,86,11,31
1485C,81,26,42
149C,84,15,39
1495C,74,41,65
150C,77,29,59
1505C,67,56,90
151C,66,53,86
152C,61,44,77
1525C,50,48,73
153C,53,33,63
1535C,38,34,53
154C,44,26,50
1545C,21,19,26
155C,87,4,22
1555C,83,21,25
156C,81,12,34
1565C,78,31,37
157C,71,27,52
1575C,70,46,58
158C,60,47,66
1585C,64,57,74
159C,53,45,61
1595C,55,48,64
160C,44,33,48
1605C,43,35,47
161C,27,18,27
1615C,35,30,40
162C,84,19,21
1625C,76,35,28
163C,75,37,40
1635C,72,44,37
164C,69,50,56
1645C,65,57,56
165C,63,61,75
1655C,60,65,72
166C,56,56,70
1665C,54,60,67
167C,49,44,56
1675C,41,44,48
168C,29,27,31
1685C,34,34,37
169C,81,27,14
170C,71,47,30
171C,64,62,52
172C,58,68,70
173C,51,57,56
174C,37,42,41
175C,29,27,24
176C,79,33,7
1765C,75,39,6
1767C,79,30,2
177C,70,52,19
1775C,70,49,11
1777C,64,60,16
178C,63,65,34
1785C,58,69,31
1787C,58,70,28
1788C,53,74,47
179C,52,65,51
1795C,47,68,45
1797C,46,65,38
180C,45,55,40
1805C,40,56,34
1807C,37,50,27
181C,29,36,25
1815C,28,41,30
1817C,24,26,12
182C,81,26,0
183C,72,45,5
184C,62,62,15
185C,50,76,42
186C,45,69,37
187C,40,59,28
188C,29,40,15
189C,76,36,-1
1895C,82,23,-4
190C,67,53,4
1905C,74,38,-3
191C,56,70,15
1915C,60,64,5
192C,50,76,31
1925C,49,76,25
193C,42,66,26
1935C,44,69,23
194C,35,52,16
1945C,37,59,18
1955C,33,51,13
196C,84,15,-1
197C,73,33,1
198C,56,61,15
199C,47,72,32
200C,42,66,31
201C,35,53,22
202C,31,45,16
203C,77,27,-7
204C,65,47,-6
205C,55,65,1
206C,45,75,22
207C,38,63,17
208C,33,48,6
209C,29,37,3
210C,76,39,-8
211C,69,53,-8
212C,59,68,-5
213C,51,76,4
214C,45,72,7
215C,38,60,5
216C,28,42,2
217C,81,22,-10
218C,64,54,-16
219C,51,74,-8
220C,37,66,3
221C,32,58,2
222C,25,39,-2
223C,73,43,-16
224C,64,59,-19
225C,53,76,-17
226C,45,80,-5
227C,36,68,-4
228C,30,53,-6
229C,25,37,-5
230C,78,36,-14
231C,67,57,-20
232C,58,73,-20
233C,44,75,-14
234C,36,63,-12
235C,30,53,-9
236C,79,30,-14
2365C,84,20,-10
237C,69,48,-22
2375C,64,54,-28
238C,59,65,-25
2385C,52,71,-31
239C,53,73,-26
2395C,42,79,-30
240C,46,69,-25
2405C,36,70,-28
241C,39,65,-22
2415C,33,64,-25
242C,29,45,-12
2425C,28,55,-20
243C,80,24,-16
244C,75,33,-21
245C,67,46,-28
246C,46,74,-36
247C,41,71,-36
248C,36,63,-31
249C,30,44,-19
250C,82,18,-14
251C,72,32,-26
252C,58,52,-38
253C,42,66,-46
254C,38,57,-39
255C,29,40,-25
256C,80,14,-13
2562C,73,24,-26
2563C,70,24,-24
2567C,68,22,-28
257C,72,21,-19
2572C,64,35,-36
2573C,59,33,-32
2577C,57,30,-38
258C,43,41,-33
2582C,48,51,-50
2583C,46,43,-40
2587C,42,41,-49
259C,27,44,-32
2592C,37,62,-55
2593C,35,48,-43
2597C,24,50,-55
260C,24,37,-25
2602C,31,57,-48
2603C,27,46,-41
2607C,20,46,-50
261C,23,33,-20
2612C,27,45,-37
2613C,25,43,-37
2617C,19,41,-44
262C,21,26,-14
2622C,24,30,-21
2623C,22,37,-30
2627C,17,34,-36
263C,84,9,-14
2635C,74,14,-25
264C,72,17,-29
2645C,65,20,-35
265C,51,34,-51
2655C,55,28,-46
266C,35,46,-64
2665C,44,37,-56
267C,25,41,-55
268C,23,35,-46
2685C,14,48,-61
269C,22,25,-31
2695C,17,24,-32
270C,72,8,-24
2705C,67,12,-33
2706C,82,2,-16
2707C,83,-2,-17
2708C,79,-1,-21
271C,62,13,-34
2715C,57,18,-45
2716C,67,7,-35
2717C,76,-2,-26
2718C,53,7,-52
272C,52,17,-41
2725C,42,29,-60
2726C,40,23,-63
2727C,50,6,-58
2728C,33,20,-69
273C,16,32,-55
2735C,14,54,-74
2736C,24,40,-75
2738C,18,41,-75
274C,13,28,-47
2745C,12,43,-62
2746C,20,36,-67
2747C,17,20,-57
2748C,15,26,-58
275C,11,24,-41
2755C,10,37,-55
2756C,16,23,-50
2757C,14,13,-45
2758C,14,18,-48
276C,13,14,-25
2765C,9,26,-42
2766C,13,14,-36
2767C,13,2,-25
2768C,12,9,-35
277C,79,-4,-22
278C,72,-4,-31
279C,56,-2,-50
280C,17,16,-57
281C,15,10,-46
282C,12,3,-33
283C,75,-7,-27
284C,67,-8,-37
285C,48,-3,-58
286C,25,21,-73
287C,24,12,-62
288C,20,9,-54
289C,13,-1,-30
290C,85,-6,-13
2905C,78,-12,-23
291C,80,-9,-20
2915C,70,-15,-34
292C,69,-12,-34
2925C,56,-16,-49
293C,30,9,-70
2935C,36,-2,-67
294C,21,2,-51
2945C,32,-7,-56
295C,17,-2,-39
2955C,22,-9,-39
296C,14,-8,-21
2965C,18,-10,-26
297C,76,-18,-26
2975C,84,-14,-15
298C,69,-21,-35
2985C,71,-25,-32
299C,60,-24,-46
2995C,60,-30,-46
300C,40,-13,-63
3005C,44,-23,-60
301C,31,-13,-52
3015C,36,-23,-48
302C,25,-17,-34
3025C,27,-22,-31
303C,18,-15,-22
3035C,21,-19,-20
304C,84,-16,-14
305C,76,-27,-27
306C,67,-35,-38
307C,41,-31,-50
308C,32,-29,-36
309C,20,-20,-16
310C,78,-27,-21
3105C,79,-27,-18
311C,71,-35,-29
3115C,72,-36,-24
312C,60,-45,-39
3125C,62,-47,-32
313C,52,-46,-44
3135C,51,-53,-38
314C,45,-43,-39
3145C,43,-46,-30
315C,36,-38,-30
3155C,36,-41,-25
316C,25,-25,-14
3165C,28,-33,-18
317C,88,-12,-7
318C,83,-23,-13
319C,75,-36,-19
320C,53,-61,-28
321C,45,-55,-25
322C,39,-46,-19
323C,35,-37,-15
324C,82,-21,-8
3242C,81,-31,-9
3245C,82,-31,-7
3248C,78,-29,-4
325C,73,-36,-11
3252C,77,-39,-12
3255C,77,-43,-8
3258C,72,-39,-4
326C,63,-51,-13
3262C,66,-58,-15
3265C,69,-59,-9
3268C,60,-58,-3
327C,45,-69,-9
3272C,55,-71,-15
3275C,61,-71,-7
3278C,53,-68,1
328C,39,-58,-8
3282C,46,-58,-12
3285C,52,-59,-6
3288C,44,-61,1
329C,34,-51,-7
3292C,32,-40,-6
3295C,44,-51,-5
3298C,36,-48,1
330C,30,-30,-5
3302C,24,-27,-3
3305C,27,-12,-1
3308C,24,-26,1
331C,88,-19,-2
332C,86,-24,-3
333C,79,-44,-3
334C,53,-69,2
335C,44,-51,1
336C,36,-41,2
337C,82,-25,1
3375C,83,-34,3
338C,78,-32,1
3385C,77,-48,6
339C,63,-56,6
3395C,69,-67,12
340C,51,-73,13
3405C,60,-81,20
341C,42,-54,7
3415C,42,-54,13
342C,38,-44,6
3425C,36,-42,10
343C,30,-31,5
3435C,25,-28,7
344C,84,-23,8
345C,80,-31,11
346C,74,-41,15
347C,51,-74,29
348C,44,-63,25
349C,35,-43,18
350C,26,-22,11
351C,86,-26,10
352C,83,-36,15
353C,80,-44,18
354C,58,-82,42
355C,51,-72,38
356C,40,-54,29
357C,28,-27,15
358C,82,-28,30
359C,81,-30,32
360C,69,-49,49
361C,62,-57,52
362C,55,-48,46
363C,50,-42,42
364C,42,-33,35
365C,88,-17,30
366C,85,-23,37
367C,81,-31,49
368C,69,-47,64
369C,61,-45,61
370C,52,-34,51
371C,38,-17,34
372C,90,-15,33
373C,89,-21,45
374C,86,-29,59
375C,77,-44,81
376C,69,-40,75
377C,55,-28,61
378C,36,-13,37
379C,89,-15,57
380C,86,-19,73
381C,84,-22,82
382C,80,-25,88
383C,67,-17,77
384C,58,-13,68
385C,44,-6,45
386C,90,-13,58
387C,89,-17,76
388C,87,-20,90
389C,84,-24,98
390C,73,-18,90
391C,59,-10,71
392C,50,-6,58
393C,92,-9,45
3935C,92,-9,55
394C,90,-13,76
3945C,90,-11,90
395C,88,-15,93
3955C,88,-11,103
396C,86,-16,102
3965C,87,-10,107
397C,73,-11,92
3975C,69,-4,85
398C,65,-8,83
3985C,57,-2,68
399C,58,-5,72
3995C,39,0,44
400C,81,1,3
401C,75,1,4
402C,68,2,5
403C,60,2,6
404C,49,2,7
405C,39,3,7
406C,80,2,2
408C,64,4,3
409C,57,5,4
410C,47,5,4
411C,36,6,5
412C,19,5,5
413C,81,-1,3
