pantone_name,R,G,B
100C,243,237,134
101C,245,236,98
102C,250,230,0
103C,202,173,0
104C,172,150,0
105C,129,114,20
106C,246,231,97
107C,250,226,47
108C,254,219,0
109C,255,209,0
110C,219,174,0
111C,175,143,0
112C,153,128,0
113C,250,225,90
114C,250,224,81
115C,251,222,74
116C,255,206,0
117C,206,157,0
118C,179,138,0
119C,138,118,26
120C,249,223,121
1205C,243,226,167
121C,251,219,110
1215C,245,221,146
122C,253,212,79
1225C,253,199,69
123C,255,199,38
1235C,255,179,0
124C,235,171,0
1245C,198,146,0
125C,187,137,0
1255C,170,128,14
126C,161,124,0
1265C,131,101,20
127C,239,223,133
128C,242,214,94
129C,241,205,68
130C,241,171,0
131C,212,145,0
132C,166,122,0
133C,133,89,19
134C,248,213,131
1345C,251,207,141
135C,254,200,90
1355C,253,200,125
136C,255,188,58
1365C,255,183,84
137C,255,159,0
1375C,255,154,0
138C,228,127,0
1385C,214,117,0
139C,182,113,0
1395C,158,96,9
140C,122,86,15
1405C,108,71,19
141C,239,200,104
142C,241,187,70
143C,239,170,35
144C,237,128,0
145C,207,118,0
146C,159,96,0
147C,113,88,33
148C,251,208,157
1485C,255,181,123
149C,254,198,136
1495C,255,150,59
150C,255,169,79
1505C,255,114,0
151C,255,115,0
152C,231,111,0
1525C,202,78,0
153C,192,102,0
1535C,147,63,0
154C,153,84,9
1545C,81,38,11
155C,236,214,175
1555C,255,191,160
156C,239,193,138
1565C,255,169,125
157C,237,155,79
1575C,255,134,66
158C,233,107,16
1585C,255,105,0
159C,205,88,6
1595C,218,92,5
160C,162,78,18
1605C,162,74,19
161C,97,53,23
1615C,133,60,16
162C,253,195,170
1625C,255,162,139
163C,255,156,113
1635C,255,142,112
164C,255,126,67
1645C,255,108,59
165C,255,95,0
1655C,255,82,0
166C,229,83,0
1665C,229,72,0
167C,194,81,15
1675C,168,60,15
168C,111,48,20
1685C,134,53,20
169C,255,182,177
170C,255,137,123
171C,255,97,65
172C,253,71,3
173C,216,69,25
174C,154,52,22
175C,112,50,34
176C,255,172,185
1765C,254,157,176
1767C,250,175,194
177C,255,129,140
1775C,255,133,154
1777C,251,101,129
178C,255,91,96
1785C,249,69,91
1787C,249,66,95
1788C,240,34,51
179C,226,56,40
1795C,216,31,42
1797C,208,36,51
180C,192,54,44
1805C,176,35,42
1807C,161,40,48
181C,121,39,32
1815C,124,33,30
1817C,94,39,40
182C,248,184,203
183C,252,141,169
184C,248,93,129
185C,234,4,55
186C,210,16,52
187C,179,27,52
188C,124,34,48
189C,248,161,190
1895C,243,188,212
190C,248,119,158
1905C,245,155,189
191C,242,63,114
1915C,242,85,138
192C,233,6,73
1925C,228,0,80
193C,195,12,62
1935C,203,4,71
194C,156,30,61
1945C,170,17,63
1955C,147,23,59
196C,235,198,211
197C,235,155,178
198C,228,77,11
199C,219,12,65
200C,193,4,53
201C,158,27,52
202C,137,32,52
203C,235,173,205
204C,232,123,172
205C,227,69,133
206C,215,0,77
207C,177,0,66
208C,144,33,71
209C,117,38,65
210C,250,159,204
211C,249,125,184
212C,243,78,154
213C,230,21,119
214C,208,0,99
215C,170,16,84
216C,122,29,66
217C,236,187,221
218C,232,111,184
219C,224,33,138
220C,174,0,85
221C,150,0,75
222C,108,25,63
223C,242,147,209
224C,239,106,191
225C,229,35,157
226C,214,0,119
227C,174,0,95
228C,138,7,83
229C,106,29,68
230C,247,167,219
231C,245,117,201
232C,239,64,176
233C,201,0,129
234C,166,0,107
235C,137,8,87
236C,242,176,223
2365C,239,195,228
237C,238,134,211
2375C,226,112,205
238C,230,83,188
2385C,215,51,180
239C,224,50,175
2395C,196,0,152
240C,196,30,153
2405C,167,0,132
241C,172,4,129
2415C,151,0,118
242C,122,26,87
2425C,130,0,99
243C,232,183,229
244C,230,162,224
245C,223,129,214
246C,199,11,172
247C,183,0,157
248C,158,3,137
249C,123,34,102
250C,227,192,230
251C,217,156,225
252C,202,101,209
253C,169,27,176
254C,150,35,153
255C,112,38,108
256C,217,191,224
2562C,207,165,228
2563C,199,157,216
2567C,187,153,218
257C,203,164,212
2572C,192,132,220
2573C,178,121,200
2577C,162,118,204
258C,146,73,158
2582C,162,76,200
2583C,153,80,178
2587C,131,72,181
259C,108,27,114
2592C,144,22,178
2593C,126,43,151
2597C,89,5,141
260C,95,29,95
2602C,125,9,150
2603C,104,23,127
2607C,79,2,124
261C,89,30,85
2612C,106,26,122
2613C,97,23,116
2617C,75,11,113
262C,79,34,72
2622C,87,36,88
2623C,88,25,99
2627C,67,18,95
263C,216,203,235
2635C,191,175,228
264C,188,168,230
2645C,170,148,222
265C,141,101,210
2655C,145,115,211
266C,103,50,186
2665C,122,82,199
267C,79,31,145
268C,74,33,126
2685C,59,0,132
269C,69,38,99
2695C,59,29,89
270C,173,172,220
2705C,162,159,224
2706C,196,203,234
2707C,186,208,238
2708C,177,197,234
271C,148,144,210
2715C,133,128,216
2716C,148,161,226
2717C,161,189,234
2718C,84,126,217
272C,121,115,194
2725C,94,83,199
2726C,69,85,199
2727C,56,120,219
2728C,0,71,190
273C,37,23,122
2735C,40,0,146
2736C,30,34,174
2738C,0,18,157
274C,33,18,101
2745C,34,0,122
2746C,26,28,150
2747C,0,35,126
2748C,0,26,123
275C,29,17,87
2755C,27,0,105
2756C,21,29,113
2757C,0,32,101
